Date,Open,High,Low,Close,Adj Close,Volume
2019-06-14,9.710000,9.746000,9.100000,9.190000,9.190000,244500
2019-06-17,9.230000,9.440000,9.000000,9.230000,9.230000,283200
2019-06-18,9.440000,9.990000,9.280000,9.950000,9.950000,244100
2019-06-19,9.950000,10.040000,9.631000,9.770000,9.770000,163900
2019-06-20,10.030000,10.280000,9.900000,10.060000,10.060000,223500
2019-06-21,10.050000,10.090000,9.765000,10.010000,10.010000,139000
2019-06-24,10.000000,10.190000,9.850000,9.900000,9.900000,214400
2019-06-25,9.830000,10.030000,9.610000,9.720000,9.720000,233100
2019-06-26,9.820000,10.030000,9.440000,9.650000,9.650000,275000
2019-06-27,9.720000,9.836000,9.440000,9.770000,9.770000,129400
2019-06-28,9.850000,10.000000,9.650000,10.000000,10.000000,268700
2019-07-01,10.350000,10.650000,10.060000,10.270000,10.270000,265000
2019-07-02,10.250000,10.420000,9.800000,9.880000,9.880000,179400
2019-07-03,9.880000,9.970000,9.660000,9.920000,9.920000,91600
2019-07-05,9.810000,10.200000,9.690000,10.030000,10.030000,128100
2019-07-08,9.920000,10.270000,9.759000,10.230000,10.230000,232400
2019-07-09,10.060000,10.320000,9.990000,10.280000,10.280000,157500
2019-07-10,10.320000,10.610000,10.050000,10.310000,10.310000,185100
2019-07-11,10.270000,10.450000,10.110000,10.160000,10.160000,139800
2019-07-12,10.300000,10.610000,10.136000,10.510000,10.510000,163300
2019-07-15,10.500000,11.200000,10.500000,10.910000,10.910000,297000
2019-07-16,10.930000,11.000000,10.260000,10.380000,10.380000,175400
2019-07-17,10.360000,10.560000,10.100000,10.490000,10.490000,164800
2019-07-18,10.400000,10.620000,10.190000,10.280000,10.280000,176400
2019-07-19,10.420000,10.680000,10.325000,10.440000,10.440000,239200
2019-07-22,10.400000,10.510000,10.170000,10.340000,10.340000,167900
2019-07-23,10.430000,10.720000,10.340000,10.570000,10.570000,215000
2019-07-24,10.510000,10.700000,10.120000,10.240000,10.240000,236400
2019-07-25,10.120000,10.245000,9.980000,10.030000,10.030000,183000
2019-07-26,10.140000,10.350000,10.000000,10.050000,10.050000,251400
2019-07-29,10.000000,10.230000,9.750000,10.140000,10.140000,275900
2019-07-30,10.010000,10.430000,9.950000,10.310000,10.310000,204400
2019-07-31,10.110000,11.980000,10.110000,11.790000,11.790000,503500
2019-08-01,11.500000,12.230000,11.400000,11.960000,11.960000,790000
2019-08-02,11.660000,12.880000,11.520000,11.980000,11.980000,853000
2019-08-05,11.620000,12.000000,11.260000,11.520000,11.520000,429100
2019-08-06,11.250000,11.740000,10.700000,11.080000,11.080000,443800
2019-08-07,10.940000,10.960000,10.340000,10.400000,10.400000,504100
2019-08-08,10.250000,10.940000,10.250000,10.800000,10.800000,200600
2019-08-09,10.540000,10.730000,10.230000,10.440000,10.440000,202200
2019-08-12,10.420000,10.850000,10.290000,10.400000,10.400000,143600
2019-08-13,10.520000,11.030000,10.400000,10.920000,10.920000,147000
2019-08-14,10.630000,10.850000,10.350000,10.720000,10.720000,217700
2019-08-15,10.810000,10.901000,10.430000,10.610000,10.610000,236000
2019-08-16,10.740000,11.330000,10.430000,11.270000,11.270000,219600
2019-08-19,12.200000,12.480000,10.130000,10.530000,10.530000,898000
2019-08-20,10.650000,11.230000,10.600000,11.100000,11.100000,234100
2019-08-21,11.090000,11.195000,10.690000,10.940000,10.940000,313200
2019-08-22,10.770000,10.970000,10.210000,10.270000,10.270000,246300
2019-08-23,10.180000,10.210000,9.610000,9.690000,9.690000,481100
2019-08-26,9.880000,9.920000,9.600000,9.740000,9.740000,221500
2019-08-27,9.870000,10.140000,9.370000,9.600000,9.600000,314300
2019-08-28,9.520000,9.800000,9.350000,9.720000,9.720000,305600
2019-08-29,9.730000,10.250000,9.650000,10.120000,10.120000,273100
2019-08-30,10.090000,10.455000,9.830000,9.910000,9.910000,152700
2019-09-03,9.960000,9.980000,9.640000,9.890000,9.890000,140100
2019-09-04,10.010000,10.110000,9.600000,9.620000,9.620000,105900
2019-09-05,9.750000,10.190000,9.750000,10.050000,10.050000,145000
2019-09-06,10.120000,10.880000,10.120000,10.670000,10.670000,290700
2019-09-09,10.700000,11.225000,10.580000,11.010000,11.010000,157600
2019-09-10,10.910000,11.520000,10.850000,11.510000,11.510000,199200
2019-09-11,11.320000,11.617000,10.950000,11.040000,11.040000,167200
2019-09-12,11.030000,11.030000,10.680000,10.790000,10.790000,127700
2019-09-13,10.850000,11.420000,10.850000,10.950000,10.950000,126400
2019-09-16,10.830000,11.010000,10.280000,10.810000,10.810000,214500
2019-09-17,10.640000,10.880000,10.540000,10.750000,10.750000,87300
2019-09-18,10.615000,10.760000,10.250000,10.630000,10.630000,191600
2019-09-19,10.680000,10.980000,10.680000,10.870000,10.870000,154200
2019-09-20,10.960000,10.960000,10.320000,10.560000,10.560000,463700
2019-09-23,10.530000,10.710000,10.230000,10.370000,10.370000,324500
2019-09-24,10.410000,10.460000,10.150000,10.230000,10.230000,117300
2019-09-25,10.230000,10.470000,10.200000,10.350000,10.350000,75300
2019-09-26,10.250000,10.340000,10.200000,10.260000,10.260000,48400
2019-09-27,10.210000,10.650000,9.960000,10.090000,10.090000,173900
2019-09-30,10.110000,10.251000,9.778000,10.000000,10.000000,95600
2019-10-01,9.930000,10.120000,9.550000,9.860000,9.860000,119600
2019-10-02,9.770000,9.900000,9.250000,9.750000,9.750000,212800
2019-10-03,9.780000,9.840000,9.430000,9.800000,9.800000,49300
2019-10-04,9.800000,9.810000,9.560000,9.640000,9.640000,34200
2019-10-07,9.510000,9.705000,9.500000,9.500000,9.500000,52800
2019-10-08,9.380000,9.410000,8.840000,8.840000,8.840000,258800
2019-10-09,9.040000,9.160000,8.872000,8.980000,8.980000,76300
2019-10-10,9.030000,9.140000,8.660000,8.710000,8.710000,151700
2019-10-11,8.780000,9.200000,8.520000,8.840000,8.840000,335600
2019-10-14,8.880000,9.260000,8.620000,9.230000,9.230000,158900
2019-10-15,9.240000,9.270000,8.840000,9.170000,9.170000,194500
2019-10-16,9.110000,9.180000,8.910000,9.160000,9.160000,115300
2019-10-17,9.200000,9.256000,9.000000,9.110000,9.110000,47200
2019-10-18,8.960000,9.120000,8.800000,8.920000,8.920000,240000
2019-10-21,8.980000,9.100000,8.660000,8.990000,8.990000,146800
2019-10-22,9.050000,9.092000,8.800000,9.000000,9.000000,74100
2019-10-23,9.000000,9.190000,8.910000,9.170000,9.170000,101200
2019-10-24,9.150000,9.150000,8.810000,8.990000,8.990000,111700
2019-10-25,9.030000,9.260000,8.840000,9.140000,9.140000,170000
2019-10-28,9.190000,9.890000,9.190000,9.840000,9.840000,302500
2019-10-29,9.750000,9.860000,8.920000,8.950000,8.950000,265800
2019-10-30,8.950000,9.230000,8.840000,9.160000,9.160000,198700
2019-10-31,9.160000,9.181000,8.990000,9.040000,9.040000,56300
2019-11-01,9.180000,9.490000,9.139000,9.280000,9.280000,100500
2019-11-04,9.360000,9.470000,9.166000,9.360000,9.360000,97800
2019-11-05,9.370000,9.540000,9.290000,9.330000,9.330000,113600
2019-11-06,9.310000,9.630000,9.280000,9.600000,9.600000,79800
2019-11-07,9.640000,9.990000,9.630000,9.890000,9.890000,280500
2019-11-08,9.920000,10.350000,9.818000,9.950000,9.950000,228000
2019-11-11,9.960000,10.690000,9.950000,10.450000,10.450000,529600
2019-11-12,10.890000,10.900000,9.830000,10.300000,10.300000,637400
2019-11-13,10.150000,11.030000,10.150000,10.970000,10.970000,1411400
2019-11-14,10.850000,11.350000,10.850000,11.230000,11.230000,545400
2019-11-15,11.320000,11.990000,11.250000,11.900000,11.900000,376200
2019-11-18,11.990000,12.100000,11.040000,11.460000,11.460000,429300
2019-11-19,11.590000,11.590000,10.040000,10.210000,10.210000,676800
2019-11-20,10.240000,10.650000,10.102000,10.410000,10.410000,335100
2019-11-21,10.470000,10.565000,10.020000,10.430000,10.430000,212500
2019-11-22,10.360000,10.500000,10.030000,10.070000,10.070000,212700
2019-11-25,10.090000,10.550000,10.070000,10.480000,10.480000,302000
2019-11-26,10.560000,10.560000,10.220000,10.240000,10.240000,497400
2019-11-27,10.210000,10.700000,10.210000,10.660000,10.660000,349400
2019-11-29,10.600000,11.380000,10.520000,11.270000,11.270000,192600
2019-12-02,11.260000,11.330000,10.654000,10.920000,10.920000,203300
2019-12-03,10.880000,11.070000,10.700000,10.870000,10.870000,156800
2019-12-04,10.870000,11.480000,10.870000,11.350000,11.350000,342200
2019-12-05,11.360000,11.490000,11.180000,11.380000,11.380000,229400
2019-12-06,11.490000,11.840000,11.100000,11.590000,11.590000,561900
2019-12-09,11.590000,12.200000,11.500000,12.120000,12.120000,371200
2019-12-10,12.030000,12.190000,11.620000,11.920000,11.920000,263200
2019-12-11,11.840000,11.850000,10.930000,11.050000,11.050000,395200
2019-12-12,11.110000,11.640000,11.100000,11.510000,11.510000,183100
2019-12-13,11.600000,12.380000,11.590000,12.350000,12.350000,499500
2019-12-16,12.390000,13.600000,12.380000,13.360000,13.360000,647700
2019-12-17,13.490000,13.490000,12.620000,12.980000,12.980000,391600
2019-12-18,13.000000,13.050000,12.780000,13.000000,13.000000,399100
2019-12-19,12.890000,12.990000,12.420000,12.740000,12.740000,203700
2019-12-20,12.710000,13.000000,12.350000,12.510000,12.510000,266600
2019-12-23,12.580000,12.880000,11.600000,11.860000,11.860000,488600
2019-12-24,11.810000,12.120000,11.770000,12.050000,12.050000,146700
2019-12-26,12.150000,12.303000,11.920000,12.100000,12.100000,405400
2019-12-27,12.130000,12.360000,11.900000,11.980000,11.980000,359200
2019-12-30,12.000000,12.120000,11.870000,11.940000,11.940000,376200
2019-12-31,11.960000,12.110000,11.860000,12.020000,12.020000,461100
2020-01-02,12.310000,12.345000,11.670000,11.750000,11.750000,676100
2020-01-03,11.750000,12.060000,11.320000,11.600000,11.600000,714100
2020-01-06,11.500000,11.533000,10.825000,11.150000,11.150000,404200
2020-01-07,11.230000,11.870000,11.060000,11.570000,11.570000,428300
2020-01-08,11.650000,12.650000,11.650000,12.280000,12.280000,442100
2020-01-09,12.430000,12.970000,12.290000,12.840000,12.840000,222600
2020-01-10,12.840000,13.060000,12.080000,12.320000,12.320000,423300
2020-01-13,12.440000,12.990000,12.353000,12.920000,12.920000,316900
2020-01-14,12.900000,13.140000,12.410000,13.060000,13.060000,379200
2020-01-15,13.070000,13.300000,12.660000,12.900000,12.900000,249900
2020-01-16,12.960000,13.450000,12.860000,13.420000,13.420000,358300
2020-01-17,13.500000,14.840000,13.500000,14.770000,14.770000,698100
